,name,review_text_unicode,review_rating,review_likes,review_year,review_date,owner_answer,owner_answer_date,answer_time,"('assessment', 'Customer experience')","('assessment', 'Delivery time')","('assessment', 'Quality of product')","('score', 'Customer experience')","('score', 'Delivery time')","('score', 'Quality of product')"
0,Restaurant ABC,Absolutely love my new sofa! Staff was friendly and the delivery was prompt.,1,10,2022,2022-01-27,Thank you for your feedback!,2022-01-28,1,"Friendly staff, prompt delivery",No issues with delivery,Love my new sofa,4,3,5
1,Restaurant ABC,Bought a table that broke within a week. Staff was dismissive when I called.,3,47,2023,2023-11-24,We apologize for the inconvenience.,2023-11-27,3,Dismissive staff when called,No information,Table broke within a week,2,0,1
2,Restaurant ABC,"Decent selection, but delivery took much longer than promised.",0,9,2022,2022-10-26,Thank you for your feedback!,2022-11-07,12,Decent selection,Delivery took longer than promised,No information,3,2,0
3,Restaurant ABC,"Quality furniture and great in-store service, but the delivery was late.",3,36,2021,2021-06-15,We apologize for the inconvenience.,2021-06-19,4,Great in-store service,Late delivery,Quality furniture,4,2,4
4,Restaurant ABC,Staff were rude. I won't be coming back despite the good product range.,4,38,2022,2022-12-16,Thank you for your feedback!,2022-12-23,7,Rude staff,No information,Good product range,1,0,3
5,Restaurant ABC,Superb quality! Bought a bed and it's very comfortable. Staff was kind.,2,45,2023,2023-04-13,We apologize for the inconvenience.,2023-04-22,9,Kind staff,No information,Superb quality bed,4,0,5
6,Restaurant ABC,Expected more from a store with such reviews. Products are mediocre.,5,16,2021,2021-08-13,Thank you for your feedback!,2021-08-18,5,Expected more,No information,Mediocre products,2,0,2
7,Restaurant ABC,Impressed with the quality of the chairs. Quick delivery!,3,33,2022,2022-02-22,We apologize for the inconvenience.,2022-03-04,10,Impressed with quality of chairs,Quick delivery,No information,4,4,0
8,Restaurant ABC,Terrible service! Waited weeks for my order and it came damaged.,2,43,2023,2023-08-11,Thank you for your feedback!,2023-08-21,10,Terrible service,"Waited weeks, damaged order",No information,1,1,0
9,Restaurant ABC,"Staff went out of their way to help. But, the dining set is average at best.",1,30,2021,2021-02-09,We apologize for the inconvenience.,2021-02-24,15,Staff went out of their way to help,No information,Average dining set,4,0,3
