,Unnamed: 0,name,review_text_unicode,review_rating,review_likes,review_year,review_date,owner_answer,owner_answer_date,answer_time,"('assessment', 'Customer experience')","('assessment', 'Delivery time')","('assessment', 'Quality of product')","('score', 'Customer experience')","('score', 'Delivery time')","('score', 'Quality of product')",Zero-shot model 1 Customer experience,Zero-shot model 1 Delivery time,Zero-shot model 1 Quality of product
0,0,Restaurant ABC,Absolutely love my new sofa! Staff was friendly and the delivery was prompt.,1,10,2022,2022-01-27,Thank you for your feedback!,2022-01-28,1,"Friendly staff, prompt delivery",No issues with delivery,Love my new sofa,4,3,5,4.442330732755363,4.404036980774253,4.4639156822115185
1,1,Restaurant ABC,Bought a table that broke within a week. Staff was dismissive when I called.,3,47,2023,2023-11-24,We apologize for the inconvenience.,2023-11-27,3,Dismissive staff when called,No information,Table broke within a week,2,0,1,1.0800710253417494,1.0572405494749546,1.0586073460057377
2,2,Restaurant ABC,"Decent selection, but delivery took much longer than promised.",0,9,2022,2022-10-26,Thank you for your feedback!,2022-11-07,12,Decent selection,Delivery took longer than promised,No information,3,2,0,2.0650963116437198,0.9092363126575947,2.710584871470928
3,3,Restaurant ABC,"Quality furniture and great in-store service, but the delivery was late.",3,36,2021,2021-06-15,We apologize for the inconvenience.,2021-06-19,4,Great in-store service,Late delivery,Quality furniture,4,2,4,4.214892782270908,1.0774680826812983,4.412678881455213
4,4,Restaurant ABC,Staff were rude. I won't be coming back despite the good product range.,4,38,2022,2022-12-16,Thank you for your feedback!,2022-12-23,7,Rude staff,No information,Good product range,1,0,3,0.913298639189452,1.7013945594429971,3.9797756165266036
5,5,Restaurant ABC,Superb quality! Bought a bed and it's very comfortable. Staff was kind.,2,45,2023,2023-04-13,We apologize for the inconvenience.,2023-04-22,9,Kind staff,No information,Superb quality bed,4,0,5,4.462777075753547,4.1538787933066486,4.473216412123293
6,6,Restaurant ABC,Expected more from a store with such reviews. Products are mediocre.,5,16,2021,2021-08-13,Thank you for your feedback!,2021-08-18,5,Expected more,No information,Mediocre products,2,0,2,1.9440894924104215,1.8379264906048776,2.295560185611248
7,7,Restaurant ABC,Impressed with the quality of the chairs. Quick delivery!,3,33,2022,2022-02-22,We apologize for the inconvenience.,2022-03-04,10,Impressed with quality of chairs,Quick delivery,No information,4,4,0,4.427078764373437,4.294610811769963,4.4708139131078495
8,8,Restaurant ABC,Terrible service! Waited weeks for my order and it came damaged.,2,43,2023,2023-08-11,Thank you for your feedback!,2023-08-21,10,Terrible service,"Waited weeks, damaged order",No information,1,1,0,0.8054510315181688,0.7628451267024502,0.8087720481911675
9,9,Restaurant ABC,"Staff went out of their way to help. But, the dining set is average at best.",1,30,2021,2021-02-09,We apologize for the inconvenience.,2021-02-24,15,Staff went out of their way to help,No information,Average dining set,4,0,3,2.69336864752695,2.1926813617348673,2.5769522235495974
10,10,Restaurant ABC,Ordered a shelf; poor quality and wobbly. Expected better from this store.,2,5,2023,2023-08-05,Thank you for your feedback!,2023-08-13,8,No information,No information,"Poor quality, wobbly shelf",0,0,1,1.0707636320963503,0.8390261242166162,1.0051354998024182
11,11,Restaurant ABC,Amazing service! Staff guided me through every step. Happy with my purchase.,3,44,2023,2023-12-19,We apologize for the inconvenience.,2023-12-23,4,Amazing service,No information,Happy with purchase,5,0,4,4.45376649776008,4.260655301809312,4.356280184537172
12,12,Restaurant ABC,Delivery was a disaster. Two weeks late and the package was damaged.,2,32,2022,2022-03-08,Thank you for your feedback!,2022-03-14,6,No information,"Late delivery, damaged package",No information,0,1,0,0.8985080751590431,0.8229200618341566,0.9970929398201407
13,13,Restaurant ABC,Customer service is top-notch. They resolved my issue promptly.,2,8,2021,2021-04-21,We apologize for the inconvenience.,2021-04-21,0,Top-notch customer service,No information,No information,5,0,0,4.464867209992372,4.405831018835306,4.3891704887151715
14,14,Restaurant ABC,Stunning collection! I always find unique pieces here. Staff is also very knowledgeable.,3,47,2021,2021-11-01,Thank you for your feedback!,2021-11-07,6,Knowledgeable staff,No information,Stunning collection,4,0,4,4.460603574058041,4.049745350517332,4.4254354740493
15,15,Restaurant ABC,Bought a desk and it's of terrible quality. Very disappointed.,3,4,2022,2022-02-25,We apologize for the inconvenience.,2022-02-27,2,No information,No information,Terrible quality desk,0,0,1,0.8608985079918057,0.9826147738844158,0.8141925587086007
16,16,Restaurant ABC,Highly recommend! Great quality furniture and excellent customer service.,2,15,2022,2022-12-20,Thank you for your feedback!,2023-01-03,14,Excellent customer service,No information,Great quality furniture,5,0,5,4.4880754328100005,4.264228282496333,4.481015233148355
17,17,Restaurant ABC,Delivery guys were rude and didn't handle the furniture well.,0,19,2022,2022-06-25,We apologize for the inconvenience.,2022-07-03,8,Delivery guys were rude,No information,No information,1,0,0,0.9229809073731303,0.8477011930197478,0.9801676491275431
18,18,Restaurant ABC,Lovely store ambiance. The staff makes you feel very welcomed.,4,2,2022,2022-11-17,Thank you for your feedback!,2022-12-02,15,Lovely store ambiance,No information,No information,4,0,0,4.416665974073112,3.555279338359833,4.133096305653453
19,19,Restaurant ABC,Products are overpriced for the quality they offer.,0,10,2021,2021-08-07,We apologize for the inconvenience.,2021-08-08,1,No information,No information,Overpriced products,0,0,2,1.9462761826813222,1.9839970022439957,1.6575578168034553
20,20,Restaurant ABC,Great deals during the sale! Got a fabulous couch at half the price.,1,29,2021,2021-10-21,Thank you for your feedback!,2021-10-25,4,Great deals during sale,No information,Fabulous couch at half the price,4,0,5,4.179698028415442,3.872954151779413,4.4065227570012215
21,21,Restaurant ABC,Horrible experience. The table I bought had termites!,1,12,2023,2023-02-25,We apologize for the inconvenience.,2023-03-11,14,Horrible experience,No information,Table had termites,1,0,1,0.8157561845844612,0.8994864821434021,0.8177261209581048
22,22,Restaurant ABC,The installation team did a great job setting up my bedroom.,0,1,2023,2023-08-12,Thank you for your feedback!,2023-08-18,6,Great job by installation team,No information,No information,4,0,0,4.392966757155955,4.292056682705879,4.4493952340446405
23,23,Restaurant ABC,Delivery time is a joke! They always deliver later than promised.,5,33,2021,2021-09-17,We apologize for the inconvenience.,2021-09-19,2,No information,Always deliver later than promised,No information,0,2,0,0.8420971219427884,0.7829769524745643,1.1672591269016266
24,24,Restaurant ABC,Found the perfect lamp for my study. Thanks to the staff for their suggestions.,0,25,2023,2023-05-17,Thank you for your feedback!,2023-05-27,10,Staff suggestions for lamp,No information,No information,4,0,0,4.162926556915044,3.637245900928974,4.343589521944523
25,25,Restaurant ABC,Expected better quality. The drawers of the chest I bought are misaligned.,0,19,2022,2022-02-26,We apologize for the inconvenience.,2022-03-12,14,No information,No information,Misaligned drawers,0,0,2,2.0059520162642004,1.1709272045642138,1.542461239825934
26,26,Restaurant ABC,Been buying from here for years. Quality has gone down.,2,39,2021,2021-08-04,Thank you for your feedback!,2021-08-18,14,Been buying for years,No information,Quality has gone down,3,0,2,1.5204989150166512,1.5123548924922943,1.5995668726041914
27,27,Restaurant ABC,Exceptional service! The staff was patient and helped me choose the right furniture.,3,37,2022,2022-01-11,We apologize for the inconvenience.,2022-01-20,9,"Patient staff, helped choose",No information,No information,4,0,0,4.472954062791541,4.30134449088946,4.422155142575503
28,28,Restaurant ABC,Very displeased. The sofa color looked different from what was shown online.,2,25,2023,2023-02-08,Thank you for your feedback!,2023-02-19,11,Sofa color different from online,No information,No information,2,0,0,0.8996294831857086,1.0334345176815987,0.995060574822128
29,29,Restaurant ABC,Always a pleasure shopping here. They never disappoint with their collection.,4,33,2022,2022-09-07,We apologize for the inconvenience.,2022-09-11,4,Always a pleasure shopping,No information,Never disappoint with collection,4,0,4,4.45108744436875,3.6891306132078174,4.440549570135772
30,30,Restaurant ABC,Bought a bed that started creaking within a month. Not worth the price.,5,10,2021,2021-07-17,Thank you for your feedback!,2021-07-28,11,No information,No information,Creaking bed within a month,0,0,2,1.0384387826547028,1.095846507139504,1.0508228665217758
31,31,Restaurant ABC,Love their eco-friendly collection. Good quality and looks elegant.,5,31,2022,2022-02-07,We apologize for the inconvenience.,2022-02-14,7,No information,No information,"Good quality, elegant eco-friendly collection",0,0,4,4.379818878881633,3.7190316937863828,4.459761921293102
32,32,Restaurant ABC,Staff wasn't helpful. Had to figure everything out on my own.,5,17,2022,2022-06-02,Thank you for your feedback!,2022-06-13,11,Staff wasn't helpful,No information,No information,2,0,0,1.0746161481365561,1.2876581870019437,1.756951203942299
33,33,Restaurant ABC,The dining set I purchased is the star of my home. Absolutely beautiful!,3,46,2023,2023-08-27,We apologize for the inconvenience.,2023-08-31,4,Delightful shopping experience,"Quick delivery, wrong item",Beautiful dining set,5,2,5,4.197478858567774,3.9676543451845645,4.390477283578367
34,34,Restaurant ABC,Worst purchase ever. The wardrobe doors are uneven.,1,44,2021,2021-01-26,Thank you for your feedback!,2021-02-09,14,Worst purchase ever,No information,Uneven wardrobe doors,1,0,2,0.8248135129455477,1.024613105505705,0.8284708011429757
35,35,Restaurant ABC,Great store layout. Makes shopping easy and pleasant.,3,34,2023,2023-08-25,We apologize for the inconvenience.,2023-09-09,15,Easy and pleasant shopping,No information,No information,4,0,0,4.425715758325532,3.372330313920975,4.102270901575684
36,36,Restaurant ABC,"Delivery was quick, but they sent the wrong furniture piece!",3,21,2021,2021-02-15,Thank you for your feedback!,2021-02-26,11,Delightful shopping experience,"Quick delivery, wrong item",Wrong furniture piece,5,2,2,1.0332726262509824,2.9566291496157646,0.9763823244720697
37,37,Restaurant ABC,Quality has deteriorated. Not the same store it used to be.,3,28,2023,2023-09-15,We apologize for the inconvenience.,2023-09-16,1,Deteriorated store quality,No information,No information,2,0,0,1.1586994387209417,1.2470670245587827,1.2505298383533956
38,38,Restaurant ABC,Kudos to the staff! Made my shopping experience delightful.,4,38,2023,2023-06-27,Thank you for your feedback!,2023-06-28,1,Delightful shopping experience,No information,No information,5,0,0,4.470380290667527,4.106048928573728,4.411938327457755
39,39,Restaurant ABC,Bought a rug. The color faded after one wash. Very disappointed.,3,19,2022,2022-02-18,We apologize for the inconvenience.,2022-03-01,11,Very disappointed,No information,Faded color after wash,1,0,2,1.0292408360168337,1.112839049473405,1.4333273129537702
40,40,Restaurant ABC,Fantastic offers during the festive season. Made a great purchase.,1,5,2023,2023-01-25,Thank you for your feedback!,2023-02-01,7,Fantastic festive offers,No information,Great purchase,4,0,4,4.337771935388446,4.2330451223999255,4.3896074850112194
